Année;Numéro;Type de feu;Département;Code INSEE;Commune;Lieu-dit;Code du carreau DFCI;Alerte;Origine de l'alerte;Surface parcourue (m2)
2015;6252;0;2B;2B223;Pietralba;Route des mines;NC64B43;2015-08-29 12:30:00;;20
2015;4770;0;2B;2B059;Canavaggia;;NC64B22;2015-08-29 13:33:00;;3000
2015;5004;0;2B;2B049;Calenzana;Forêt de setti;NC24C03;2015-08-30 18:57:00;;200
2015;5390;0;2B;2B314;Santo-Pietro-di-Tenda;Piste de Salecia;NC66B25;2015-09-13 14:10:00;;800
2015;4920;0;2B;2B079;Castello-di-Rostino;Pozzi Mori;NC64G11;2015-08-31 14:30:00;;1771
2015;5501;0;2B;2B105;Erbajolo;FELCE;NC62H04;2015-09-18 12:35:00;4;10253
2015;6285;0;2B;2B292;Sant'Andréa-di-Bozio;Macchioni;NC62F03;2015-09-18 13:45:00;4;4710
2015;5674;0;2B;2B143;Linguizzetta;Champ de tir;NC80H75;2015-09-29 04:57:00;3;50
2015;6286;0;2B;2B143;Linguizzetta;Champ de tir;NC80H75;2015-09-29 04:57:00;;272
2015;6287;0;2B;2B143;Linguizzetta;Champ de tir;NC80H75;2015-09-29 04:57:00;3;25
2018;3809;0;2B;2B079;Castello-di-Rostino;;NC64G34;2018-09-12 12:20:00;;35000
2017;4874;0;2A;2A270;Sari-d'Orcino;Sous le village;NB28L71;2017-08-01 14:18:00;3;2850
2021;5480;0;2B;2B185;Oletta;Olmelli;NC66G12;2021-08-31 19:39:00;;100
2014;2457;0;2B;2B058;Canari;;NC68G32;2014-05-23 16:04:00;;50
2016;4247;0;2B;2B355;Volpajola;route du village;NC64L42;2016-07-19 21:30:00;;464200
2015;3631;0;2B;2B290;Speloncato;;NC44C75;2015-07-25 22:30:00;3;488130
2015;4468;0;2B;2B045;Bustanico;;NC62H33;2015-08-18 00:50:00;;1000
2018;45;0;2B;2B201;Pancheraccia;ROUTE DE CASAPERTA;NC80D52;2018-01-03 22:25:00;;70000
2018;43;0;2B;2B002;Aghione;DOM. MACHIGLIANI;NC80C12;2018-01-03 21:48:00;;20000
2018;3;0;2B;2B123;Ghisonaccia;GARE;NB88C92;2018-01-02 15:03:00;;50000
2022;3254;0;2B;2B123;Ghisonaccia;alzitone;NC80D0;2022-06-25 15:14:00;;50
2021;400;0;2B;2B190;Olmi-Cappella;;NC44E53;2021-02-26 14:05:00;;65000
2020;218;0;2B;2B224;Pietracorbara;;NC68K32;2020-01-30 15:10:00;;10000
2017;5559;0;2B;2B116;Focicchia;losullelo;NC60G85;2017-08-11 12:19:00;;21530
2017;7860;0;2B;2B116;Focicchia;cimetiere;NC60H95;2017-10-17 15:53:00;;97000
2021;403;0;2B;2B184;Olcani;;NC68K12;2021-02-28 12:00:00;;20000
2020;4174;0;2B;2B079;Castello-di-Rostino;;NC64G24;2020-08-30 14:25:00;;50
2020;138;0;2B;2B315;Santo-Pietro-di-Venaco;;NC60B81;2020-02-02 11:17:00;;110000
2022;868;0;2A;2A258;Renno;Col de Sevi;NC20K65;2022-01-16 12:48:00;;3000
2019;6487;0;2B;2B320;Tallone;;NC80G45;2019-09-25 19:39:00;3;15000
