Année;Numéro;Type de feu;Département;Code INSEE;Commune;Lieu-dit;Code du carreau DFCI;Alerte;Origine de l'alerte;Surface parcourue (m2)
2022;2316;0;2A;2A324;Tavera;Col de Scalella;NB48H73;2022-03-09 17:49:00;;15
2018;1250;0;2B;2B185;Oletta;;NC66G13;2018-06-02 15:16:00;;2000
2022;8506;0;2A;2A133;Guitera-les-Bains;Bains de Guitera;NB66B91;2022-03-22 19:01:00;;50
2014;5429;0;2B;2B185;Oletta;;NC66G25;2014-09-23 18:12:00;;10000
2019;849;0;2B;2B298;Saint-Florent;;NC66G31;2019-03-05 13:10:00;;30
2012;4613;0;2A;2A271;Sarrola-Carcopino;RTE DE SARROLA;NB28K42;2012-03-23 14:03:00;3;3000
2020;1553;0;2A;2A014;Ambiegna;Piste Solaggiola;NB28H85;2020-05-10 08:25:00;;100
2020;636;0;2A;2A348;Vico;Au dessus de Bioghiu;NC20H25;2020-02-08 16:55:00;;8000
2017;9240;0;2B;2B364;Zuani;;NC82A01;2017-11-22 13:16:00;;40000
2019;7320;0;2A;2A017;Appietto;RD381 route de Lava;NB28G44;2019-10-28 13:58:00;;1
2019;1676;0;2A;2A232;Pila-Canale;Calzola;NB46D23;2019-03-26 17:47:00;;1000
2017;483;0;2B;2B185;Oletta;col fratta;NC66G11;2017-03-02 11:27:00;;1000
2012;8449;0;2B;2B277;Serra-di-Fiumorbo;;NB88C42;2012-09-08 14:50:00;;400
2014;4307;0;2A;2A232;Pila-Canale;Centre village;NB46D4;2014-07-04 10:46:00;3;2000
2021;7311;0;2A;2A032;Bastelicaccia;Minusti;NB48A15;2021-10-04 12:13:00;;1335
2017;3651;0;2B;2B002;Aghione;marchigliani;NC80D12;2017-07-06 11:15:00;;15
2014;2957;0;2A;2A284;Sollacaro;Campo Sevano;NB46C0;2014-06-22 10:52:00;3;2000
2013;4743;0;2B;2B251;Prunelli-di-Fiumorbo;;NB88C63;2013-09-12 11:49:00;;10000
2017;2300;0;2A;2A247;Porto-Vecchio;U CANTONE avenue de bastia;NB84A0;2017-06-20 16:05:00;3;2000
2019;6539;0;2A;2A247;Porto-Vecchio;Santa Giulia bordure de RT;NB62L93;2019-09-30 16:30:00;;2000
2020;1791;0;2B;2B002;Aghione;;NC80D2;2020-06-23 11:33:00;;1000
2012;121;0;2B;2B054;Campile;;NC64L43;2012-01-06 15:36:00;;2000
2015;4533;0;2A;2A362;Zonza;Hippodrome VISEO;NB64G9;2015-08-11 09:38:00;3;50
2014;5094;0;2B;2B236;Poggio-di-Nazza;;NB88B85;2014-09-02 10:03:00;;3500
2014;3404;0;2A;2A249;Propriano;Aerodrome Tavaria;NB44D5;2014-07-04 16:07:00;3;20
2015;2177;0;2B;2B201;Pancheraccia;CASAPERTA;NC80D55;2015-07-02 12:42:00;;62321
2014;2849;0;2B;2B314;Santo-Pietro-di-Tenda;;NC66C35;2014-07-03 15:13:00;;683810
2014;6221;0;2A;2A272;Sartène;Pont de l'Ortolo;NB44L1;2014-11-01 13:25:00;3;1200
2014;2716;0;2A;2A249;Propriano;tavaria;NB44D55;2014-05-07 16:52:00;3;3000
2022;3245;0;2B;2B123;Ghisonaccia;Patrone;NB88C7;2022-06-21 11:06:00;;150000
2022;1395;0;2A;2A247;Porto-Vecchio;Guardienna;NB64L24;2022-01-18 00:40:00;;10
2021;7320;0;2A;2A001;Afa;A Zitella;NB28K21;2021-10-11 10:52:00;;35400
2015;2318;0;2A;2A133;Guitera-les-Bains;Bains de Guitera;NB66A9;2015-06-24 19:20:00;3;300
2017;1812;0;2A;2A189;Olmeto;pont de baracci;NB44E7;2017-05-24 15:52:00;3;200
2012;8887;0;2B;2B005;Alando;;NC62G22;2012-09-25 17:23:00;;15000
2013;1234;0;2A;2A031;Bastelica;radicale;NB48F05;2013-04-16 16:40:00;3;500
2012;9106;0;2B;2B097;Costa;;NC44D63;2012-10-09 17:55:00;;200
2021;7355;0;2A;2A089;Ciamannacce;U Pinu;NB68C12;2021-11-22 17:44:00;;15
2013;1236;0;2A;2A092;Conca;livesani;NB86C14;2013-04-17 14:56:00;3;50
2012;10129;0;2B;2B111;Felce;;NC82C55;2012-12-11 17:35:00;;300
2021;7351;0;2A;2A091;Cognocoli-Monticchi;Monte Canarello;NB46A33;2021-10-27 20:43:00;;2
